city,country,year,city_temp,glo_temp
Seoul,South Korea,1839,9.47,7.63
Seoul,South Korea,1840,10.21,7.80
Seoul,South Korea,1841,9.44,7.69
Seoul,South Korea,1842,10.13,8.02
Seoul,South Korea,1843,10.33,8.17
Seoul,South Korea,1844,10.15,7.65
Seoul,South Korea,1845,10.25,7.85
Seoul,South Korea,1846,10.57,8.55
Seoul,South Korea,1847,10.59,8.09
Seoul,South Korea,1848,10.36,7.98
Seoul,South Korea,1849,10.39,7.98
Seoul,South Korea,1850,9.69,7.90
Seoul,South Korea,1851,9.33,8.18
Seoul,South Korea,1852,9.52,8.10
Seoul,South Korea,1853,9.86,8.04
Seoul,South Korea,1854,10.53,8.21
Seoul,South Korea,1855,10.83,8.11
Seoul,South Korea,1856,10.30,8.00
Seoul,South Korea,1857,10.27,7.76
Seoul,South Korea,1858,10.45,8.10
Seoul,South Korea,1859,10.37,8.25
Seoul,South Korea,1860,9.47,7.96
Seoul,South Korea,1861,9.77,7.85
Seoul,South Korea,1862,9.69,7.56
Seoul,South Korea,1863,10.53,8.11
Seoul,South Korea,1864,10.00,7.98
Seoul,South Korea,1865,10.20,8.18
Seoul,South Korea,1866,10.11,8.29
Seoul,South Korea,1867,10.56,8.44
Seoul,South Korea,1868,10.49,8.25
Seoul,South Korea,1869,10.71,8.43
Seoul,South Korea,1870,10.34,8.20
Seoul,South Korea,1871,10.48,8.12
Seoul,South Korea,1872,10.26,8.19
Seoul,South Korea,1873,9.85,8.35
Seoul,South Korea,1874,10.52,8.43
Seoul,South Korea,1875,10.43,7.86
Seoul,South Korea,1876,10.71,8.08
Seoul,South Korea,1877,10.48,8.54
Seoul,South Korea,1878,10.29,8.83
Seoul,South Korea,1879,10.62,8.17
Seoul,South Korea,1880,10.29,8.12
Seoul,South Korea,1881,10.24,8.27
Seoul,South Korea,1882,10.43,8.13
Seoul,South Korea,1883,10.24,7.98
Seoul,South Korea,1884,9.37,7.77
Seoul,South Korea,1885,9.88,7.92
Seoul,South Korea,1886,10.33,7.95
Seoul,South Korea,1887,10.35,7.91
Seoul,South Korea,1888,10.34,8.09
Seoul,South Korea,1889,9.70,8.32
Seoul,South Korea,1890,11.38,7.97
Seoul,South Korea,1891,10.33,8.02
Seoul,South Korea,1892,9.61,8.07
Seoul,South Korea,1893,9.64,8.06
Seoul,South Korea,1894,11.60,8.16
Seoul,South Korea,1895,9.93,8.15
Seoul,South Korea,1896,10.39,8.21
Seoul,South Korea,1897,10.40,8.29
Seoul,South Korea,1898,11.49,8.18
Seoul,South Korea,1899,11.12,8.40
Seoul,South Korea,1900,10.55,8.50
Seoul,South Korea,1901,10.28,8.54
Seoul,South Korea,1902,10.82,8.30
Seoul,South Korea,1903,10.68,8.22
Seoul,South Korea,1904,10.25,8.09
Seoul,South Korea,1905,10.57,8.23
Seoul,South Korea,1906,10.08,8.38
Seoul,South Korea,1907,10.57,7.95
Seoul,South Korea,1908,10.08,8.19
Seoul,South Korea,1909,10.13,8.18
Seoul,South Korea,1910,9.94,8.22
Seoul,South Korea,1911,10.24,8.18
Seoul,South Korea,1912,9.96,8.17
Seoul,South Korea,1913,9.70,8.30
Seoul,South Korea,1914,11.44,8.59
Seoul,South Korea,1915,10.35,8.59
Seoul,South Korea,1916,10.49,8.23
Seoul,South Korea,1917,9.56,8.02
Seoul,South Korea,1918,10.21,8.13
Seoul,South Korea,1919,10.64,8.38
Seoul,South Korea,1920,10.98,8.36
Seoul,South Korea,1921,10.49,8.57
Seoul,South Korea,1922,10.53,8.41
Seoul,South Korea,1923,10.15,8.42
Seoul,South Korea,1924,10.54,8.51
Seoul,South Korea,1925,10.33,8.53
Seoul,South Korea,1926,10.25,8.73
Seoul,South Korea,1927,10.56,8.52
Seoul,South Korea,1928,10.53,8.63
Seoul,South Korea,1929,10.75,8.24
Seoul,South Korea,1930,11.12,8.63
Seoul,South Korea,1931,10.27,8.72
Seoul,South Korea,1932,10.98,8.71
Seoul,South Korea,1933,10.47,8.34
Seoul,South Korea,1934,10.21,8.63
Seoul,South Korea,1935,11.26,8.52
Seoul,South Korea,1936,9.85,8.55
Seoul,South Korea,1937,11.15,8.70
Seoul,South Korea,1938,10.80,8.86
Seoul,South Korea,1939,11.36,8.76
Seoul,South Korea,1940,10.63,8.76
Seoul,South Korea,1941,10.89,8.77
Seoul,South Korea,1942,10.72,8.73
Seoul,South Korea,1943,11.14,8.76
Seoul,South Korea,1944,10.52,8.85
Seoul,South Korea,1945,9.99,8.58
Seoul,South Korea,1946,11.07,8.68
Seoul,South Korea,1947,9.20,8.80
Seoul,South Korea,1948,11.23,8.75
Seoul,South Korea,1949,11.24,8.59
Seoul,South Korea,1950,11.29,8.37
Seoul,South Korea,1951,10.98,8.63
Seoul,South Korea,1952,10.85,8.64
Seoul,South Korea,1953,10.79,8.87
Seoul,South Korea,1954,11.09,8.56
Seoul,South Korea,1955,11.23,8.63
Seoul,South Korea,1956,9.84,8.28
Seoul,South Korea,1957,10.11,8.73
Seoul,South Korea,1958,11.09,8.77
Seoul,South Korea,1959,11.58,8.73
Seoul,South Korea,1960,11.63,8.58
Seoul,South Korea,1961,11.66,8.80
Seoul,South Korea,1962,10.98,8.75
Seoul,South Korea,1963,10.55,8.86
Seoul,South Korea,1964,11.35,8.41
Seoul,South Korea,1965,10.61,8.53
Seoul,South Korea,1966,10.73,8.60
Seoul,South Korea,1967,10.84,8.70
Seoul,South Korea,1968,10.93,8.52
Seoul,South Korea,1969,10.09,8.60
Seoul,South Korea,1970,10.46,8.70
Seoul,South Korea,1971,10.71,8.60
Seoul,South Korea,1972,11.01,8.50
Seoul,South Korea,1973,11.28,8.95
Seoul,South Korea,1974,10.21,8.47
Seoul,South Korea,1975,11.61,8.74
Seoul,South Korea,1976,10.56,8.35
Seoul,South Korea,1977,11.22,8.85
Seoul,South Korea,1978,11.46,8.69
Seoul,South Korea,1979,11.58,8.73
Seoul,South Korea,1980,10.03,8.98
Seoul,South Korea,1981,10.28,9.17
Seoul,South Korea,1982,11.47,8.64
Seoul,South Korea,1983,11.38,9.03
Seoul,South Korea,1984,10.67,8.69
Seoul,South Korea,1985,10.78,8.66
Seoul,South Korea,1986,10.46,8.83
Seoul,South Korea,1987,11.03,8.99
Seoul,South Korea,1988,11.23,9.20
Seoul,South Korea,1989,12.01,8.92
Seoul,South Korea,1990,11.86,9.23
Seoul,South Korea,1991,11.39,9.18
Seoul,South Korea,1992,11.48,8.84
Seoul,South Korea,1993,11.02,8.87
Seoul,South Korea,1994,12.32,9.04
Seoul,South Korea,1995,11.27,9.35
Seoul,South Korea,1996,11.13,9.04
Seoul,South Korea,1997,11.70,9.20
Seoul,South Korea,1998,12.66,9.52
Seoul,South Korea,1999,12.13,9.29
Seoul,South Korea,2000,11.42,9.20
Seoul,South Korea,2001,11.60,9.41
Seoul,South Korea,2002,11.80,9.57
Seoul,South Korea,2003,11.80,9.53
Seoul,South Korea,2004,12.25,9.32
Seoul,South Korea,2005,11.16,9.70
Seoul,South Korea,2006,12.01,9.53
Seoul,South Korea,2007,12.25,9.73
Seoul,South Korea,2008,11.96,9.43
Seoul,South Korea,2009,11.84,9.51
Seoul,South Korea,2010,11.30,9.70
Seoul,South Korea,2011,11.12,9.52
Seoul,South Korea,2012,11.23,9.51
Seoul,South Korea,2013,12.12,9.61
